DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-01,39309,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-02,31924,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-03,45449,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-04,104565,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-05,210984,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-06,435168,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-07,712763,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-08,864189,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-09,806564,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-10,948932,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-11,473402,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2021-12,320440,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-01,224024,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-02,241597,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-03,355428,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-04,729730,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-05,865377,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-06,1009873,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-07,1167071,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-08,1245877,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-09,1099280,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-10,1068742,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2022-11,568626,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-01,1084912,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-02,1038847,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-03,446896,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-04,4998,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-05,7795,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-06,38093,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-07,275291,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-08,380334,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-09,263010,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-10,120832,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-11,67862,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2020-12,105609,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-01,91189,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-02,79609,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-03,89543,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-04,104228,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-05,142977,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-06,336704,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-07,707553,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-08,804884,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-09,726886,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-10,656647,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-11,558583,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2021-12,497756,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2022-01,354536,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2022-02,450152,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2022-03,624668,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2022-04,826412,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2022-05,960604,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2022-06,1290330,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CZ,2022-07,1566550,
